48.85	15.75
48.71	16.89
48.38	16.84
48.01	17.16
47.71	17.03
47.67	16.42
47.57	16.69
47.45	16.65
47.35	16.43
47.03	16.46
46.84	16.00
46.66	16.04
46.65	15.07
46.37	14.57
46.68	12.48
47.08	12.14
46.97	11.16
46.78	11.03
46.85	10.47
46.98	10.39
46.85	10.14
47.06	9.61
47.27	9.53
47.41	9.66
47.54	9.56
47.55	9.97
47.27	10.18
47.39	10.43
47.56	10.45
47.54	10.89
47.40	11.02
47.70	12.34
47.52	13.05
47.67	13.08
48.11	12.75
48.38	13.41
48.59	13.51
48.51	13.73
48.77	13.84
48.56	14.35
48.58	14.69
49.00	15.02
48.85	15.75
nan	nan
51.50	4.76
51.16	5.79
50.76	5.68
50.75	6.02
50.50	6.32
50.32	6.41
50.10	5.90
49.85	5.75
49.66	5.89
49.55	5.82
49.50	5.47
49.81	4.87
50.15	4.80
49.99	4.66
49.98	4.14
50.25	4.19
50.52	3.31
50.76	3.18
50.71	2.86
50.83	2.65
51.09	2.55
51.37	3.37
51.23	3.98
51.50	4.76
nan	nan
43.90	22.86
43.64	25.54
44.04	26.36
44.13	27.27
43.74	28.58
43.51	28.59
43.39	28.49
43.39	28.11
42.72	27.87
42.49	27.52
41.96	27.99
41.93	27.56
42.09	27.21
41.93	26.60
41.71	26.36
41.70	26.09
41.43	26.17
41.31	25.91
41.26	25.22
41.55	24.52
41.34	22.93
41.69	23.01
42.02	22.87
42.31	22.36
42.45	22.54
42.83	22.44
42.89	22.75
43.19	23.01
43.48	22.54
43.98	22.41
44.22	22.68
44.03	23.02
43.90	22.86
nan	nan
50.83	2.65
50.76	3.18
50.52	3.31
50.49	3.62
50.33	3.70
50.36	4.03
50.25	4.19
49.98	4.14
49.94	4.43
50.13	4.87
49.81	4.87
49.50	5.47
49.47	6.37
49.16	6.78
48.97	8.23
48.61	7.82
48.12	7.58
47.59	7.59
47.43	7.38
47.43	6.94
47.33	7.02
46.93	6.46
46.13	5.96
46.45	6.50
46.43	6.82
46.16	6.82
45.92	7.04
45.78	6.80
45.40	7.16
45.23	7.09
45.11	6.63
44.71	7.07
44.36	6.89
44.06	7.71
43.78	7.53
43.10	6.35
43.06	5.83
43.34	5.31
43.36	4.64
43.55	4.10
43.04	3.08
42.58	3.05
42.44	3.17
42.34	2.55
42.36	2.04
42.49	1.73
42.57	1.79
42.83	0.86
42.84	0.72
42.68	0.67
42.70	0.01
43.06	-1.40
43.25	-1.44
43.35	-1.79
43.66	-1.44
44.68	-1.11
44.80	-1.23
45.49	-1.13
45.33	-0.71
45.97	-1.36
45.87	-1.13
46.18	-1.19
46.32	-1.08
46.48	-1.76
46.87	-2.14
47.03	-1.98
47.25	-2.19
47.30	-2.47
47.53	-2.56
47.88	-4.36
48.03	-4.51
48.33	-4.43
48.44	-4.70
48.67	-4.25
48.66	-3.66
48.85	-3.14
48.54	-2.71
48.66	-2.37
48.62	-1.51
49.19	-1.61
49.71	-1.93
49.69	-1.32
49.32	-1.12
49.29	-0.21
49.43	0.62
49.52	0.08
49.72	0.22
50.21	1.60
50.86	1.60
51.09	2.55
50.83	2.65
nan	nan
48.57	-2.01
48.54	-1.97
48.58	-1.97
48.57	-2.01
nan	nan
42.86	9.48
42.18	9.56
41.39	9.21
41.53	8.84
42.38	8.59
42.60	8.83
42.70	9.31
42.97	9.35
42.86	9.48
nan	nan
46.18	-1.22
46.13	-1.30
46.17	-1.40
46.18	-1.22
nan	nan
47.05	-2.24
46.96	-2.23
47.05	-2.35
47.05	-2.24
nan	nan
47.30	-3.14
47.37	-3.30
47.38	-3.19
47.30	-3.14
nan	nan
48.02	-4.75
48.04	-4.93
48.08	-4.84
48.02	-4.75
nan	nan
35.43	34.12
35.18	33.92
34.97	34.09
34.62	33.03
34.76	32.45
